Date,Open,High,Low,Close,Adj Close,Volume
1995-03-24,1.006243,1.013017,1.002366,1.006243,0.358718,6029
1995-03-27,null,null,null,null,null,null
1995-03-28,1.027527,1.027527,1.027527,1.027527,0.366306,0
1995-03-29,null,null,null,null,null,null
1995-03-30,null,null,null,null,null,null
1995-03-31,1.035263,1.037197,1.020753,1.035263,0.369064,5990
1995-04-03,null,null,null,null,null,null
1995-04-04,null,null,null,null,null,null
1995-04-05,null,null,null,null,null,null
1995-04-06,null,null,null,null,null,null
1995-04-07,null,null,null,null,null,null
1995-04-10,null,null,null,null,null,null
1995-04-11,null,null,null,null,null,null
1995-04-12,null,null,null,null,null,null
1995-04-13,null,null,null,null,null,null
1995-04-14,null,null,null,null,null,null
1995-04-17,1.064292,1.064292,1.064292,1.064292,0.379412,0
1995-04-18,null,null,null,null,null,null
1995-04-19,null,null,null,null,null,null
1995-04-20,null,null,null,null,null,null
1995-04-21,null,null,null,null,null,null
1995-04-24,null,null,null,null,null,null
1995-04-25,1.040103,1.040103,1.040103,1.040103,0.370789,0
1995-04-26,null,null,null,null,null,null
1995-04-27,null,null,null,null,null,null
1995-04-28,null,null,null,null,null,null
1995-05-01,0.996564,0.996564,0.996564,0.996564,0.355268,0
1995-05-02,null,null,null,null,null,null
1995-05-03,null,null,null,null,null,null
1995-05-04,null,null,null,null,null,null
1995-05-05,null,null,null,null,null,null
1995-05-08,null,null,null,null,null,null
1995-05-09,null,null,null,null,null,null
1995-05-10,null,null,null,null,null,null
1995-05-11,null,null,null,null,null,null
1995-05-12,null,null,null,null,null,null
1995-05-15,null,null,null,null,null,null
1995-05-16,null,null,null,null,null,null
1995-05-17,null,null,null,null,null,null
1995-05-18,null,null,null,null,null,null
1995-05-19,null,null,null,null,null,null
1995-05-22,null,null,null,null,null,null
1995-05-23,null,null,null,null,null,null
1995-05-24,null,null,null,null,null,null
1995-05-25,null,null,null,null,null,null
1995-05-26,null,null,null,null,null,null
1995-05-29,null,null,null,null,null,null
1995-05-30,null,null,null,null,null,null
1995-05-31,null,null,null,null,null,null
1995-06-01,null,null,null,null,null,null
1995-06-02,null,null,null,null,null,null
1995-06-05,null,null,null,null,null,null
1995-06-06,null,null,null,null,null,null
1995-06-07,null,null,null,null,null,null
1995-06-08,null,null,null,null,null,null
1995-06-09,null,null,null,null,null,null
1995-06-12,null,null,null,null,null,null
1995-06-13,null,null,null,null,null,null
1995-06-14,null,null,null,null,null,null
1995-06-15,null,null,null,null,null,null
1995-06-16,null,null,null,null,null,null
1995-06-19,null,null,null,null,null,null
1995-06-20,null,null,null,null,null,null
1995-06-21,null,null,null,null,null,null
